Rule;N;GOAL;NO_GOAL;BTTSRate;CoveragePct;LiftVsBaseline
MinGFL5>=1.4 AND AvgGAL8>=1.4;2398;1614;784;67.31;27.74;6.59
MinGFL8>=1.6 AND MinOverL5>=0.5;1866;1256;610;67.31;21.59;6.59
MinGFL8>=1.6 AND MinOverL5>=0.6;1866;1256;610;67.31;21.59;6.59
MinGFFull>=1.6 AND MinBTTSL7>=0.6;878;591;287;67.31;10.16;6.59
MinBTTSL8>=0.7 AND AvgGAFull>=1.6;783;527;256;67.31;9.06;6.59
MinGFL8>=1.8 AND AvgBTTSL7>=0.7;780;525;255;67.31;9.02;6.59
AvgBTTSL7>=0.8 AND MinOverL5>=0.5;569;383;186;67.31;6.58;6.59
AvgBTTSL7>=0.8 AND MinOverL5>=0.6;569;383;186;67.31;6.58;6.59
MinGAFull>=1.2 AND MinGFL8>=1.2;2645;1780;865;67.3;30.6;6.58
MinGFL8>=1.4 AND AvgGAFull>=1.4;2110;1420;690;67.3;24.41;6.58
MinGFL7>=1.8 AND AvgBTTSL5>=0.6;1260;848;412;67.3;14.58;6.58
MinBTTSFull>=0.6 AND MinGFL5>=1.6;1208;813;395;67.3;13.98;6.58
MinGFFull>=1.8 AND MinBTTSL5>=0.5;945;636;309;67.3;10.93;6.58
MinGFFull>=1.8 AND MinBTTSL5>=0.6;945;636;309;67.3;10.93;6.58
MinGFL8>=1.8 AND AvgBTTSFull>=0.7;636;428;208;67.3;7.36;6.58
MinBTTSL8>=0.7 AND MinGFL8>=1.8;370;249;121;67.3;4.28;6.58
MinGFFull>=1.6 AND MinOverL8>=0.5;2045;1376;669;67.29;23.66;6.57
MinOverL7>=0.7 AND AvgGAL5>=1.6;1712;1152;560;67.29;19.81;6.57
AvgBTTSFull>=0.7 AND MinOverL8>=0.6;1449;975;474;67.29;16.77;6.57
MinGFFull>=1.8 AND MinGFL7>=1.2;1437;967;470;67.29;16.63;6.57
MinGFFull>=1.8 AND MinGFL7>=1.4;1397;940;457;67.29;16.16;6.57
MinOverL5>=0.7 AND AvgBTTSL7>=0.6;1284;864;420;67.29;14.86;6.57
MinOverL5>=0.8 AND AvgBTTSL7>=0.6;1284;864;420;67.29;14.86;6.57
AvgBTTSFull>=0.8 AND MinBTTSL8>=0.8;266;179;87;67.29;3.08;6.57
MinBTTSFull>=0.8 AND AvgBTTSL5>=0.7;266;179;87;67.29;3.08;6.57
MinOverL7>=0.6 AND MinGAFull>=1.4;1690;1137;553;67.28;19.55;6.56
MinOverL7>=0.7 AND MinGAL5>=1.4;1473;991;482;67.28;17.04;6.56
MinOverL7>=0.7 AND MinGFL5>=1.4;1467;987;480;67.28;16.97;6.56
MinOverL8>=0.7 AND AvgBTTSL5>=0.7;1140;767;373;67.28;13.19;6.56
MinBTTSL7>=0.8 AND MinGFFull>=1.4;324;218;106;67.28;3.75;6.56
MinOverL5>=0.7 AND MinGAL7>=1.4;1100;740;360;67.27;12.73;6.55
MinOverL5>=0.8 AND MinGAL7>=1.4;1100;740;360;67.27;12.73;6.55
AvgBTTSL8>=0.8 AND MinOverL7>=0.5;779;524;255;67.27;9.01;6.55
MinOverL7>=0.8 AND MinGFFull>=1.2;663;446;217;67.27;7.67;6.55
AvgBTTSL7>=0.8 AND MinOverL8>=0.6;550;370;180;67.27;6.36;6.55
MinOverL8>=0.6 AND MinGFFull>=1.4;2242;1508;734;67.26;25.94;6.54
MinOverL8>=0.7 AND MinBTTSL8>=0.5;1457;980;477;67.26;16.86;6.54
AvgBTTSL7>=0.7 AND MinGAL8>=1.2;2052;1380;672;67.25;23.74;6.53
MinBTTSL8>=0.8 AND MinGAL5>=1.2;287;193;94;67.25;3.32;6.53
MinOverFull>=0.6 AND MinBTTSL5>=0.7;757;509;248;67.24;8.76;6.52
MinOverFull>=0.6 AND MinBTTSL5>=0.8;757;509;248;67.24;8.76;6.52
AvgBTTSL8>=0.8 AND AvgGAL5>=1.6;699;470;229;67.24;8.09;6.52
MinGAL8>=1.4 AND MinBTTSL5>=0.7;696;468;228;67.24;8.05;6.52
MinGAL8>=1.4 AND MinBTTSL5>=0.8;696;468;228;67.24;8.05;6.52
MinBTTSL7>=0.8 AND AvgGAFull>=1.6;351;236;115;67.24;4.06;6.52
MinOverFull>=0.6 AND MinGAFull>=1.4;2124;1428;696;67.23;24.57;6.51
MinOverL7>=0.7 AND MinGAFull>=1.2;1715;1153;562;67.23;19.84;6.51
MinOverL7>=0.7 AND MinGFFull>=1.2;1709;1149;560;67.23;19.77;6.51
MinBTTSL7>=0.7 AND MinGAL7>=1.4;1062;714;348;67.23;12.29;6.51
MinGFL8>=1.6 AND MinBTTSL7>=0.7;763;513;250;67.23;8.83;6.51
MinBTTSFull>=0.6 AND MinGAFull>=1.4;1690;1136;554;67.22;19.55;6.5
AvgBTTSFull>=0.7 AND MinGAFull>=1.2;1623;1091;532;67.22;18.78;6.5
MinOverL7>=0.8 AND MinGFFull>=1.6;482;324;158;67.22;5.58;6.5
MinGAL8>=1.2 AND MinGFFull>=1.2;2681;1802;879;67.21;31.02;6.49
MinGAL8>=1.4 AND MinOverL7>=0.5;2531;1701;830;67.21;29.28;6.49
MinOverL7>=0.8 AND MinBTTSL8>=0.4;738;496;242;67.21;8.54;6.49
MinBTTSL5>=0.7 AND MinGFFull>=1.4;738;496;242;67.21;8.54;6.49
MinBTTSL5>=0.8 AND MinGFFull>=1.4;738;496;242;67.21;8.54;6.49
MinGFFull>=1.6 AND AvgBTTSL5>=0.6;1826;1227;599;67.2;21.13;6.48
MinGFFull>=1.8 AND MinGFL8>=1.6;1363;916;447;67.2;15.77;6.49
MinOverL7>=0.8 AND MinGFL8>=1.8;378;254;124;67.2;4.37;6.48
MinGAL8>=1.4 AND MinBTTSL8>=0.6;1725;1159;566;67.19;19.96;6.47
MinGFFull>=1.8 AND MinGFL8>=1.4;1411;948;463;67.19;16.33;6.47
MinOverL8>=0.7 AND MinBTTSL7>=0.7;704;473;231;67.19;8.15;6.47
AvgBTTSFull>=0.6 AND MinGAL5>=1.4;2489;1672;817;67.18;28.8;6.46
MinOverFull>=0.6 AND MinGFL8>=1.4;1959;1316;643;67.18;22.67;6.46
MinOverL8>=0.7 AND AvgGAFull>=1.4;1490;1001;489;67.18;17.24;6.46
MinGFL8>=1.8 AND MinGFL5>=1.8;1167;784;383;67.18;13.5;6.46
AvgBTTSL8>=0.8 AND AvgGAL7>=1.4;786;528;258;67.18;9.09;6.46
MinBTTSFull>=0.8 AND AvgBTTSL8>=0.8;262;176;86;67.18;3.03;6.46
MinOverFull>=0.6 AND MinGAL8>=1.2;2525;1696;829;67.17;29.21;6.45
MinGFL5>=1.8 AND MinOverL8>=0.4;1663;1117;546;67.17;19.24;6.45
AvgBTTSL5>=0.8 AND MinGAL7>=1.2;1267;851;416;67.17;14.66;6.45
MinOverL5>=0.7 AND MinGAL7>=1.2;1258;845;413;67.17;14.56;6.45
MinOverL5>=0.8 AND MinGAL7>=1.2;1258;845;413;67.17;14.56;6.45
MinGFL5>=1.8 AND MinGFL7>=1.8;1246;837;409;67.17;14.42;6.46
MinGFL8>=1.8 AND MinOverL8>=0.6;1133;761;372;67.17;13.11;6.45
MinBTTSL8>=0.7 AND MinOverL5>=0.5;856;575;281;67.17;9.9;6.45
MinBTTSL8>=0.7 AND MinOverL5>=0.6;856;575;281;67.17;9.9;6.45
AvgBTTSL8>=0.8 AND MinGFL8>=1.2;725;487;238;67.17;8.39;6.45
MinOverL8>=0.6 AND MinGAL7>=1.4;2278;1530;748;67.16;26.36;6.44
MinGAL8>=1.4 AND AvgBTTSL7>=0.6;2241;1505;736;67.16;25.93;6.44
MinOverL7>=0.7 AND MinGAL5>=1.2;1699;1141;558;67.16;19.66;6.44
MinOverL7>=0.7 AND MinGFL7>=1.2;1684;1131;553;67.16;19.48;6.44
MinGFL7>=1.8 AND AvgBTTSL7>=0.6;1151;773;378;67.16;13.32;6.44
MinGAFull>=1.4 AND AvgBTTSFull>=0.6;2469;1658;811;67.15;28.57;6.43
MinOverFull>=0.6 AND MinGAL5>=1.4;2082;1398;684;67.15;24.09;6.43
MinOverL7>=0.7 AND MinBTTSFull>=0.6;1178;791;387;67.15;13.63;6.43
MinOverL8>=0.6 AND MinBTTSL5>=0.7;828;556;272;67.15;9.58;6.43
MinOverL8>=0.6 AND MinBTTSL5>=0.8;828;556;272;67.15;9.58;6.43
AvgBTTSL7>=0.8 AND MinGFFull>=1.2;551;370;181;67.15;6.38;6.43
MinBTTSL8>=0.8 AND MinGFL8>=1.6;207;139;68;67.15;2.4;6.43
MinGAL8>=1.4 AND AvgBTTSL8>=0.6;2343;1573;770;67.14;27.11;6.42
AvgBTTSL7>=0.8 AND MinGFL5>=1.2;563;378;185;67.14;6.51;6.42
MinGAL5>=1.4 AND MinGFL5>=1.2;2096;1407;689;67.13;24.25;6.41
MinGFL8>=1.6 AND MinGAL7>=1.0;1795;1205;590;67.13;20.77;6.41
MinBTTSL5>=0.7 AND MinGAFull>=1.4;712;478;234;67.13;8.24;6.42
MinBTTSL5>=0.8 AND MinGAFull>=1.4;712;478;234;67.13;8.24;6.42
MinGFL8>=1.8 AND AvgBTTSL5>=0.8;508;341;167;67.13;5.88;6.41
AvgBTTSL7>=0.8 AND MinGFL7>=1.6;359;241;118;67.13;4.15;6.41
MinOverL5>=0.7 AND AvgBTTSL7>=0.8;356;239;117;67.13;4.12;6.42
MinOverL5>=0.8 AND AvgBTTSL7>=0.8;356;239;117;67.13;4.12;6.42
MinGFFull>=1.6 AND MinBTTSFull>=0.5;1770;1188;582;67.12;20.48;6.4
MinGFL7>=1.6 AND MinOverL8>=0.6;1530;1027;503;67.12;17.7;6.4
AvgBTTSL8>=0.7 AND MinOverFull>=0.6;1402;941;461;67.12;16.22;6.4
MinGFL8>=1.8 AND MinBTTSL8>=0.5;1177;790;387;67.12;13.62;6.4
MinOverL7>=0.8 AND MinGFL5>=1.6;517;347;170;67.12;5.98;6.4
AvgBTTSFull>=0.8 AND MinBTTSL7>=0.8;292;196;96;67.12;3.38;6.4
MinBTTSL8>=0.8 AND MinGFL7>=1.8;146;98;48;67.12;1.69;6.4
MinBTTSFull>=0.6 AND MinGFL5>=1.4;1596;1071;525;67.11;18.47;6.39
MinOverL5>=0.7 AND MinGFL5>=1.0;1438;965;473;67.11;16.64;6.39
MinOverL5>=0.8 AND MinGFL5>=1.0;1438;965;473;67.11;16.64;6.39
MinOverFull>=0.6 AND AvgBTTSFull>=0.6;2632;1766;866;67.1;30.45;6.38
AvgGAFull>=1.6 AND MinGFFull>=1.2;2365;1587;778;67.1;27.36;6.38
MinOverL5>=0.7 AND MinGAL5>=1.2;1319;885;434;67.1;15.26;6.38
MinOverL5>=0.8 AND MinGAL5>=1.2;1319;885;434;67.1;15.26;6.38
MinGFFull>=1.4 AND AvgGAFull>=1.4;2309;1549;760;67.09;26.72;6.37
MinGFL7>=1.4 AND AvgGAFull>=1.4;2279;1529;750;67.09;26.37;6.37
AvgBTTSL7>=0.7 AND MinGAFull>=1.2;2030;1362;668;67.09;23.49;6.37
MinGFL7>=1.6 AND MinGAL7>=1.0;1559;1046;513;67.09;18.04;6.37
AvgBTTSL7>=0.8 AND MinGFL8>=1.2;553;371;182;67.09;6.4;6.37
AvgGAL8>=1.6 AND MinGFFull>=1.2;2436;1634;802;67.08;28.18;6.36
AvgGAL7>=1.6 AND MinGFFull>=1.2;2406;1614;792;67.08;27.84;6.36
MinGFL8>=1.4 AND AvgBTTSFull>=0.6;2196;1473;723;67.08;25.41;6.36
MinOverL8>=0.6 AND MinGFL5>=1.6;1771;1188;583;67.08;20.49;6.36
MinOverL7>=0.6 AND MinGAL8>=1.4;1674;1123;551;67.08;19.37;6.37
MinOverL5>=0.7 AND AvgBTTSL8>=0.6;1306;876;430;67.08;15.11;6.36
MinOverL5>=0.8 AND AvgBTTSL8>=0.6;1306;876;430;67.08;15.11;6.36
MinBTTSFull>=0.7 AND AvgBTTSL7>=0.8;401;269;132;67.08;4.64;6.36
MinBTTSFull>=0.8 AND MinBTTSL8>=0.8;240;161;79;67.08;2.78;6.36
MinGFFull>=1.6 AND MinOverFull>=0.5;2044;1371;673;67.07;23.65;6.35
MinGFL7>=1.8 AND AvgBTTSL7>=0.7;820;550;270;67.07;9.49;6.35
MinBTTSL8>=0.7 AND AvgBTTSFull>=0.7;817;548;269;67.07;9.45;6.36
AvgBTTSL8>=0.8 AND AvgBTTSFull>=0.7;735;493;242;67.07;8.5;6.36
MinOverL7>=0.8 AND MinBTTSL8>=0.6;580;389;191;67.07;6.71;6.35
AvgBTTSL7>=0.8 AND MinGFL5>=1.4;492;330;162;67.07;5.69;6.35
MinOverL5>=0.7 AND MinBTTSL7>=0.8;246;165;81;67.07;2.85;6.35
MinOverL5>=0.8 AND MinBTTSL7>=0.8;246;165;81;67.07;2.85;6.35
MinGFFull>=1.6 AND MinBTTSL7>=0.5;1597;1071;526;67.06;18.48;6.34
MinGFL7>=1.8 AND AvgBTTSL8>=0.6;1181;792;389;67.06;13.66;6.34
MinGFL7>=1.8 AND AvgBTTSL5>=0.7;929;623;306;67.06;10.75;6.34
AvgBTTSL7>=0.8 AND MinOverL7>=0.6;504;338;166;67.06;5.83;6.34
AvgBTTSL8>=0.8 AND MinOverL5>=0.7;425;285;140;67.06;4.92;6.34
AvgBTTSL8>=0.8 AND MinOverL5>=0.8;425;285;140;67.06;4.92;6.34
MinBTTSFull>=0.8 AND AvgBTTSL7>=0.8;255;171;84;67.06;2.95;6.34
AvgBTTSL7>=0.7 AND AvgGAFull>=1.6;1815;1217;598;67.05;21.0;6.33
MinGFL8>=1.8 AND MinBTTSL7>=0.5;1041;698;343;67.05;12.04;6.33
MinBTTSL5>=0.7 AND AvgGAFull>=1.6;792;531;261;67.05;9.16;6.33
MinBTTSL5>=0.8 AND AvgGAFull>=1.6;792;531;261;67.05;9.16;6.33
MinBTTSFull>=0.8 AND MinBTTSL8>=0.7;264;177;87;67.05;3.05;6.33
AvgGAFull>=1.6 AND MinGFL5>=1.2;2348;1574;774;67.04;27.17;6.32
AvgBTTSFull>=0.6 AND MinGFL7>=1.4;2339;1568;771;67.04;27.06;6.32
MinOverL8>=0.7 AND MinBTTSL7>=0.5;1323;887;436;67.04;15.31;6.32
MinGFL5>=1.8 AND MinBTTSL5>=0.5;1174;787;387;67.04;13.58;6.32
MinGFL5>=1.8 AND MinBTTSL5>=0.6;1174;787;387;67.04;13.58;6.32
MinGFFull>=1.8 AND MinGFL7>=1.8;1165;781;384;67.04;13.48;6.32
AvgBTTSL8>=0.8 AND MinGFFull>=1.2;719;482;237;67.04;8.32;6.32
MinOverL7>=0.7 AND MinBTTSL5>=0.7;622;417;205;67.04;7.2;6.32
MinOverL7>=0.7 AND MinBTTSL5>=0.8;622;417;205;67.04;7.2;6.32
MinGAL7>=1.4 AND MinGFL5>=1.0;2542;1704;838;67.03;29.41;6.31
MinOverL5>=0.7 AND MinOverL7>=0.7;1368;917;451;67.03;15.83;6.31
MinOverL5>=0.8 AND MinOverL7>=0.7;1368;917;451;67.03;15.83;6.31
MinOverL7>=0.7 AND MinBTTSFull>=0.5;1795;1203;592;67.02;20.77;6.3
MinOverL7>=0.7 AND MinGFL8>=1.2;1704;1142;562;67.02;19.72;6.3
MinGFL7>=1.6 AND MinOverL5>=0.5;1683;1128;555;67.02;19.47;6.3
MinGFL7>=1.6 AND MinOverL5>=0.6;1683;1128;555;67.02;19.47;6.3
MinGFL5>=1.8 AND MinBTTSL8>=0.4;1510;1012;498;67.02;17.47;6.3
MinGAFull>=1.4 AND AvgBTTSL5>=0.8;1025;687;338;67.02;11.86;6.3
MinGFL8>=1.6 AND AvgBTTSL7>=0.6;1731;1160;571;67.01;20.03;6.29
MinOverL5>=0.7 AND MinGAL5>=1.4;1173;786;387;67.01;13.57;6.29
MinOverL5>=0.8 AND MinGAL5>=1.4;1173;786;387;67.01;13.57;6.29
AvgBTTSL8>=0.8 AND MinOverFull>=0.5;779;522;257;67.01;9.01;6.29
MinBTTSFull>=0.6 AND MinGFL8>=1.4;1515;1015;500;67.0;17.53;6.28
MinGFL5>=1.8 AND AvgBTTSL5>=0.6;1482;993;489;67.0;17.15;6.28
MinGFL8>=1.6 AND AvgBTTSL7>=0.7;1212;812;400;67.0;14.02;6.28
MinOverL5>=0.7 AND AvgBTTSL5>=0.7;1185;794;391;67.0;13.71;6.28
MinOverL5>=0.8 AND AvgBTTSL5>=0.7;1185;794;391;67.0;13.71;6.28
MinBTTSL8>=0.7 AND MinGFL8>=1.4;703;471;232;67.0;8.13;6.28
AvgBTTSFull>=0.6 AND AvgGAL8>=1.6;2857;1914;943;66.99;33.06;6.27
AvgBTTSFull>=0.6 AND AvgGAL7>=1.6;2823;1891;932;66.99;32.66;6.27
AvgBTTSL8>=0.8 AND MinOverL7>=0.6;618;414;204;66.99;7.15;6.27
MinGAL8>=1.2 AND MinGFL5>=1.2;2680;1795;885;66.98;31.01;6.26
MinGFL8>=1.2 AND MinGAL7>=1.2;2441;1635;806;66.98;28.24;6.26
MinGFL8>=1.8 AND MinBTTSL5>=0.5;948;635;313;66.98;10.97;6.26
MinGFL8>=1.8 AND MinBTTSL5>=0.6;948;635;313;66.98;10.97;6.26
MinOverL5>=0.7 AND MinBTTSL7>=0.7;636;426;210;66.98;7.36;6.26
MinOverL5>=0.8 AND MinBTTSL7>=0.7;636;426;210;66.98;7.36;6.26
MinGFL5>=1.4 AND AvgGAFull>=1.4;2401;1608;793;66.97;27.78;6.25
AvgBTTSL7>=0.7 AND AvgGAL5>=1.6;1971;1320;651;66.97;22.8;6.25
MinGAL7>=1.4 AND MinBTTSL8>=0.6;1865;1249;616;66.97;21.58;6.25
MinOverL8>=0.7;1659;1111;548;66.97;19.19;6.25
MinOverL8>=0.7 AND MinOverL7>=0.7;1659;1111;548;66.97;19.19;6.25
MinOverL8>=0.7 AND MinOverL7>=0.6;1659;1111;548;66.97;19.19;6.25
MinOverL8>=0.7 AND MinOverL8>=0.6;1659;1111;548;66.97;19.19;6.25
MinOverL8>=0.7 AND MinOverL7>=0.5;1659;1111;548;66.97;19.19;6.25
MinOverL8>=0.7 AND MinOverL5>=0.5;1659;1111;548;66.97;19.19;6.25
MinOverL8>=0.7 AND MinOverL5>=0.6;1659;1111;548;66.97;19.19;6.25
MinOverL8>=0.7 AND MinOverL8>=0.5;1659;1111;548;66.97;19.19;6.25
MinOverL8>=0.7 AND MinOverL8>=0.4;1659;1111;548;66.97;19.19;6.25
AvgBTTSFull>=0.7 AND MinOverL7>=0.5;1659;1111;548;66.97;19.19;6.25
MinGFL8>=1.8 AND MinGFL5>=1.6;1317;882;435;66.97;15.24;6.25
AvgBTTSL8>=0.7 AND MinGFL5>=1.6;1005;673;332;66.97;11.63;6.25
AvgGAL7>=1.6 AND MinGFL5>=1.2;2418;1619;799;66.96;27.98;6.24
MinOverFull>=0.6 AND MinGFL7>=1.4;2055;1376;679;66.96;23.78;6.24
MinOverFull>=0.6 AND AvgBTTSL7>=0.7;1722;1153;569;66.96;19.92;6.24
MinGFL7>=1.8 AND MinOverL7>=0.5;1350;904;446;66.96;15.62;6.24
AvgBTTSL5>=0.8 AND MinGAFull>=1.2;1271;851;420;66.96;14.71;6.24
MinOverFull>=0.6 AND MinBTTSL7>=0.7;1035;693;342;66.96;11.98;6.24
MinBTTSL7>=0.7 AND MinGFL7>=1.6;675;452;223;66.96;7.81;6.24
AvgGAL5>=1.6 AND MinGFFull>=1.2;2557;1712;845;66.95;29.58;6.23
MinGFL8>=1.6 AND MinOverL7>=0.5;2021;1353;668;66.95;23.38;6.23
AvgBTTSFull>=0.7 AND AvgGAFull>=1.4;1761;1179;582;66.95;20.37;6.23
MinBTTSL5>=0.7 AND MinGAL5>=1.4;826;553;273;66.95;9.56;6.23
MinBTTSL5>=0.8 AND MinGAL5>=1.4;826;553;273;66.95;9.56;6.23
MinBTTSL7>=0.8 AND AvgGAL7>=1.6;366;245;121;66.94;4.23;6.22
MinBTTSL7>=0.8 AND AvgGAL5>=1.6;363;243;120;66.94;4.2;6.22
MinGAL8>=1.4 AND AvgBTTSL5>=0.7;1793;1200;593;66.93;20.75;6.21
MinOverL7>=0.6 AND MinGFL7>=1.4;1751;1172;579;66.93;20.26;6.21
MinOverL7>=0.6 AND MinGFL8>=1.4;1660;1111;549;66.93;19.21;6.21
MinOverL5>=0.7 AND MinGAL8>=1.2;1267;848;419;66.93;14.66;6.21
MinOverL5>=0.8 AND MinGAL8>=1.2;1267;848;419;66.93;14.66;6.21
MinBTTSL8>=0.7 AND MinGFFull>=1.2;871;583;288;66.93;10.08;6.21
AvgBTTSL7>=0.8 AND MinGAL5>=1.4;505;338;167;66.93;5.84;6.21
MinBTTSFull>=0.8 AND MinBTTSL5>=0.7;251;168;83;66.93;2.9;6.21
MinBTTSFull>=0.8 AND MinBTTSL5>=0.8;251;168;83;66.93;2.9;6.21
MinGFFull>=1.6 AND MinOverL8>=0.4;2128;1424;704;66.92;24.62;6.2
MinBTTSL8>=0.7 AND MinBTTSFull>=0.6;907;607;300;66.92;10.49;6.2
AvgBTTSL8>=0.8 AND MinOverL8>=0.5;798;534;264;66.92;9.23;6.2
MinOverFull>=0.6 AND MinGAFull>=1.2;2650;1773;877;66.91;30.66;6.19
MinOverFull>=0.6 AND MinGFL5>=1.4;2067;1383;684;66.91;23.92;6.19
MinBTTSL8>=0.7 AND AvgGAL7>=1.6;816;546;270;66.91;9.44;6.19
MinBTTSL8>=0.7 AND MinGFL5>=1.2;861;576;285;66.9;9.96;6.18
MinOverL8>=0.6 AND AvgBTTSFull>=0.6;2718;1818;900;66.89;31.45;6.17
AvgBTTSL8>=0.7 AND MinBTTSL7>=0.7;1181;790;391;66.89;13.66;6.17
AvgBTTSL5>=0.8 AND MinGFFull>=1.4;1051;703;348;66.89;12.16;6.17
MinBTTSL8>=0.8 AND AvgGAL7>=1.4;305;204;101;66.89;3.53;6.17
MinGFL8>=1.2 AND MinGAL5>=1.2;2684;1795;889;66.88;31.05;6.16
MinGAFull>=1.4 AND MinOverL7>=0.5;2621;1753;868;66.88;30.33;6.16
MinOverFull>=0.6 AND MinGAL5>=1.2;2497;1670;827;66.88;28.89;6.16
MinGAFull>=1.4 AND MinGFL5>=1.0;2488;1664;824;66.88;28.79;6.16
AvgBTTSL7>=0.7 AND MinGAL7>=1.2;2017;1349;668;66.88;23.34;6.16
MinOverL5>=0.7 AND AvgGAL8>=1.6;1268;848;420;66.88;14.67;6.16
MinOverL5>=0.8 AND AvgGAL8>=1.6;1268;848;420;66.88;14.67;6.16
MinGAFull>=1.4 AND MinBTTSL7>=0.6;1253;838;415;66.88;14.5;6.16
MinBTTSL8>=0.7 AND MinOverFull>=0.5;927;620;307;66.88;10.73;6.16
AvgBTTSL8>=0.8 AND AvgGAL8>=1.4;788;527;261;66.88;9.12;6.16
AvgBTTSL7>=0.8 AND MinGFL8>=1.4;468;313;155;66.88;5.41;6.16
MinBTTSL8>=0.8 AND MinOverL8>=0.4;314;210;104;66.88;3.63;6.16
AvgGAL8>=1.6 AND MinGFL5>=1.2;2436;1629;807;66.87;28.18;6.15
MinGFFull>=1.8 AND MinGFL7>=1.6;1283;858;425;66.87;14.84;6.15
MinGFL7>=1.8 AND MinBTTSFull>=0.5;1168;781;387;66.87;13.51;6.15
MinBTTSL8>=0.7 AND MinOverL8>=0.6;830;555;275;66.87;9.6;6.15
MinBTTSL8>=0.7 AND AvgGAL8>=1.6;821;549;272;66.87;9.5;6.15
MinBTTSFull>=0.7 AND AvgBTTSL8>=0.8;483;323;160;66.87;5.59;6.15
AvgBTTSL7>=0.7 AND AvgGAL7>=1.6;1943;1299;644;66.86;22.48;6.14
MinOverL7>=0.7 AND AvgBTTSL7>=0.6;1747;1168;579;66.86;20.21;6.14
MinBTTSL8>=0.7 AND MinGAL5>=1.2;872;583;289;66.86;10.09;6.14
MinBTTSL5>=0.7 AND MinGAFull>=1.2;872;583;289;66.86;10.09;6.14
MinBTTSL5>=0.8 AND MinGAFull>=1.2;872;583;289;66.86;10.09;6.14
MinGAFull>=1.2 AND MinGFL5>=1.2;2765;1848;917;66.84;31.99;6.12
AvgBTTSL7>=0.7 AND AvgGAL8>=1.6;1927;1288;639;66.84;22.3;6.12
MinGFL8>=1.8 AND MinOverL8>=0.5;1378;921;457;66.84;15.94;6.12
AvgBTTSFull>=0.7 AND MinGFFull>=1.4;1318;881;437;66.84;15.25;6.12
AvgBTTSFull>=0.7 AND MinGFL5>=1.6;965;645;320;66.84;11.17;6.12
AvgBTTSL7>=0.8 AND MinGFL5>=1.6;386;258;128;66.84;4.47;6.12
MinOverFull>=0.6 AND AvgGAL5>=1.6;2475;1654;821;66.83;28.64;6.11
MinOverFull>=0.6 AND MinGAL7>=1.2;2430;1624;806;66.83;28.12;6.11
MinGFFull>=1.6 AND MinBTTSL8>=0.5;1836;1227;609;66.83;21.24;6.11
MinBTTSL8>=0.7 AND AvgGAL5>=1.6;811;542;269;66.83;9.38;6.11
MinOverL7>=0.6 AND MinGAL7>=1.4;1787;1194;593;66.82;20.68;6.1
AvgBTTSL8>=0.7 AND MinOverL8>=0.6;1510;1009;501;66.82;17.47;6.1
MinGFL8>=1.8 AND MinOverL7>=0.5;1284;858;426;66.82;14.86;6.1
MinOverL8>=0.6 AND MinGFL5>=1.4;2278;1522;756;66.81;26.36;6.09
MinBTTSFull>=0.6 AND MinGAFull>=1.2;2145;1433;712;66.81;24.82;6.09
MinOverL8>=0.7 AND MinOverFull>=0.5;1645;1099;546;66.81;19.03;6.09
MinGFL7>=1.2 AND AvgGAL7>=1.4;2931;1958;973;66.8;33.91;6.08
MinOverL8>=0.6 AND MinGAFull>=1.2;2807;1875;932;66.8;32.48;6.08
MinOverL7>=0.6 AND MinGFL5>=1.4;1756;1173;583;66.8;20.32;6.08
MinBTTSL7>=0.7 AND MinGFFull>=1.4;973;650;323;66.8;11.26;6.08
AvgBTTSL8>=0.8 AND AvgGAFull>=1.4;774;517;257;66.8;8.96;6.08
MinBTTSL8>=0.7 AND MinGFL5>=1.4;723;483;240;66.8;8.37;6.09
AvgBTTSL7>=0.8 AND MinGAFull>=1.4;482;322;160;66.8;5.58;6.09
MinBTTSFull>=0.8 AND MinBTTSL7>=0.8;244;163;81;66.8;2.82;6.08
MinOverFull>=0.6 AND AvgBTTSL7>=0.6;2496;1667;829;66.79;28.88;6.07
AvgBTTSFull>=0.6 AND MinGFFull>=1.4;2448;1635;813;66.79;28.32;6.07
MinOverL7>=0.7 AND AvgGAFull>=1.6;1617;1080;537;66.79;18.71;6.07
MinBTTSFull>=0.6 AND MinGFL7>=1.4;1593;1064;529;66.79;18.43;6.07
AvgBTTSL8>=0.8 AND MinOverL8>=0.4;822;549;273;66.79;9.51;6.07
AvgBTTSL8>=0.8 AND MinGFL5>=1.0;792;529;263;66.79;9.16;6.07
MinBTTSL8>=0.7 AND MinGFL5>=1.6;557;372;185;66.79;6.44;6.07
MinOverL8>=0.7 AND MinBTTSL8>=0.4;1523;1017;506;66.78;17.62;6.06
MinOverL5>=0.7 AND AvgGAFull>=1.6;1222;816;406;66.78;14.14;6.06
MinOverL5>=0.8 AND AvgGAFull>=1.6;1222;816;406;66.78;14.14;6.06
MinOverL7>=0.7 AND AvgBTTSL5>=0.8;855;571;284;66.78;9.89;6.06
MinOverL7>=0.7 AND MinBTTSL7>=0.8;283;189;94;66.78;3.27;6.06
MinOverFull>=0.6 AND MinGFFull>=1.2;2627;1754;873;66.77;30.39;6.05
MinBTTSFull>=0.6 AND MinGFFull>=1.4;1679;1121;558;66.77;19.43;6.05
MinGFL5>=1.8 AND MinGFL8>=1.6;1544;1031;513;66.77;17.86;6.05
